id_date,date,VN10YT=HN,VN15YT=HN,VN1YT=HN,VN20YT=HN,VN2YT=HN,VN3MT=HN,VN3YT=HN,VN5YT=HN,VN6MT=HN,VN7YT=HN,VN9MT=HN
20191210,2019-12-10,3.478179931640625,4.110139846801758,1.658560037612915,4.513179779052734,1.909019947052002,1.4621399641036987,2.14670991897583,2.584980010986328,1.528439998626709,2.9758100509643555,1.5939099788665771
20191211,2019-12-11,3.509310007095337,4.137239933013916,1.6401100158691406,4.524010181427002,1.9010200500488281,1.4348499774932861,2.147710084915161,2.600069999694824,1.5041999816894531,3.0002799034118652,1.5726100206375122
20191212,2019-12-12,3.505150079727173,4.136290073394775,1.6386699676513672,4.51386022567749,1.8961000442504883,1.4369699954986572,2.1405599117279053,2.591330051422119,1.5050300359725952,2.9925498962402344,1.5722600221633911
20191213,2019-12-13,3.669250011444092,4.022439956665039,1.528499960899353,4.18025016784668,1.6381200551986694,1.614490032196045,1.8907899856567383,2.528709888458252,1.56482994556427,3.1036999225616455,1.5371099710464478
20191216,2019-12-16,3.4745800495147705,4.091710090637207,1.687749981880188,4.480820178985596,1.9339100122451782,1.4947099685668945,2.1675000190734863,2.598140001296997,1.5598599910736084,2.9819300174713135,1.624210000038147
20191217,2019-12-17,3.4440701007843018,4.153450012207031,1.65461003780365,4.598999977111816,1.8773200511932373,1.4849599599838257,2.095439910888672,2.515350103378296,1.5417399406433105,2.909670114517212,1.598289966583252
20191218,2019-12-18,3.3781800270080566,4.038909912109375,1.6332999467849731,4.488399982452393,1.8634799718856812,1.4545799493789673,2.084439992904663,2.498960018157959,1.5147299766540527,2.877340078353882,1.5743000507354736
20191219,2019-12-19,3.412139892578125,4.059770107269287,1.6477400064468384,4.493710041046143,1.884559988975525,1.463089942932129,2.1107900142669678,2.5322000980377197,1.525320053100586,2.913290023803711,1.5868699550628662
20191220,2019-12-20,3.606029987335205,4.09660005569458,1.4657800197601318,4.326620101928711,1.5441700220108032,1.6514899730682373,1.8048299551010132,2.457580089569092,1.5571500062942505,3.0258100032806396,1.4970500469207764
20191223,2019-12-23,3.646320104598999,3.986419916152954,1.4701000452041626,4.04994010925293,1.4984999895095825,1.6532299518585205,1.7145899534225464,2.36545991897583,1.567430019378662,3.002239942550659,1.5073699951171875
20191224,2019-12-24,3.272480010986328,3.955009937286377,1.5878000259399414,4.462979793548584,1.804669976234436,1.4201899766921997,2.0140199661254883,2.410330057144165,1.476539969444275,2.7770800590515137,1.5324100255966187
20191225,2019-12-25,3.3809900283813477,4.063360214233398,1.4776300191879272,4.426939964294434,1.5457799434661865,1.545490026473999,1.7244199514389038,2.221369981765747,1.508470058441162,2.7370998859405518,1.486430048942566
20191226,2019-12-26,3.4072000980377197,4.037539958953857,1.4566899538040161,4.371399879455566,1.5277299880981445,1.548949956893921,1.7249799966812134,2.2572100162506104,1.500040054321289,2.7833399772644043,1.4701100587844849
20191227,2019-12-27,3.1524999141693115,3.8445799350738525,1.566140055656433,4.406869888305664,1.7646299600601196,1.4135500192642212,1.9574799537658691,2.3264000415802,1.464769959449768,2.6731998920440674,1.5156300067901611
20191230,2019-12-30,3.2224199771881104,3.9111199378967285,1.5637099742889404,4.4432902336120605,1.7757200002670288,1.4000200033187866,1.9806499481201172,2.369539976119995,1.4550299644470215,2.7308900356292725,1.509600043296814
20191231,2019-12-31,3.3693699836730957,4.056369781494141,1.4351199865341187,4.406300067901611,1.4905699491500854,1.5262800455093384,1.6684199571609497,2.1780099868774414,1.4797600507736206,2.709359884262085,1.450029969215393
20200102,2020-01-02,3.249429941177368,3.946000099182129,1.465499997138977,4.442969799041748,1.6985900402069092,1.2848199605941772,1.9227900505065918,2.344820022583008,1.3456100225448608,2.732180118560791,1.4058400392532349
20200103,2020-01-03,3.196969985961914,3.8788199424743652,1.4698799848556519,4.368720054626465,1.694219946861267,1.2962100505828857,1.91034996509552,2.318160057067871,1.3546099662780762,2.693650007247925,1.412500023841858
20200106,2020-01-06,3.0517098903656006,3.747879981994629,1.4626699686050415,4.314859867095947,1.661020040512085,1.3102799654006958,1.85385000705719,2.2231099605560303,1.361430048942566,2.570650100708008,1.4122200012207031
20200107,2020-01-07,3.0677099227905273,3.703929901123047,1.4218599796295166,4.189620018005371,1.6421799659729004,1.2497299909591675,1.8523399829864502,2.24357008934021,1.3077800273895264,2.598299980163574,1.365149974822998
20200108,2020-01-08,3.044140100479126,3.6974399089813232,1.34961998462677,4.163300037384033,1.5729299783706665,1.1761200428009033,1.7871899604797363,2.189069986343384,1.234529972076416,2.556260108947754,1.2923599481582642
20200109,2020-01-09,2.8945798873901367,3.54502010345459,1.3282500505447388,4.058169841766357,1.5296900272369385,1.1723899841308594,1.723960041999817,2.0915400981903076,1.2247999906539917,2.4320900440216064,1.2767599821090698
20200110,2020-01-10,3.1085000038146973,3.7048099040985107,1.4755799770355225,4.023069858551025,1.3937699794769287,1.2394200563430786,1.4839999675750732,1.967170000076294,1.3767499923706055,2.4959299564361572,1.4705499410629272
20200113,2020-01-13,2.8780100345611572,3.614490032196045,1.398069977760315,4.181610107421875,1.5586299896240234,1.2801599502563477,1.7221800088882446,2.054640054702759,1.3191900253295898,2.388550043106079,1.3585000038146973
20200114,2020-01-14,3.116580009460449,3.522279977798462,1.1870299577713013,3.7282800674438477,1.2177400588989258,1.33719003200531,1.4071400165557861,1.9716399908065796,1.2661399841308594,2.5286200046539307,1.216920018196106
20200115,2020-01-15,2.934380054473877,3.5007100105285645,1.1603399515151978,3.800990104675293,1.1132299900054932,1.0920499563217163,1.2674000263214111,1.8077499866485596,1.2004400491714478,2.3407599925994873,1.1967999935150146
20200116,2020-01-16,2.8146300315856934,3.2448298931121826,1.031149983406067,3.5330801010131836,1.0986900329589844,1.119789958000183,1.2894400358200073,1.802340030670166,1.0731099843978882,2.2910499572753906,1.0442800521850586
20200117,2020-01-17,2.5441999435424805,3.18503999710083,1.0336999893188477,3.695349931716919,1.225469946861267,0.8857899904251099,1.411080002784729,1.7641199827194214,0.935479998588562,2.093440055847168,0.984790027141571
20200120,2020-01-20,2.8729400634765625,3.214370012283325,1.011240005493164,3.427839994430542,1.0451300144195557,1.179610013961792,1.2462799549102783,1.8179899454116821,1.0993800163269043,2.349519968032837,1.044319987297058
20200121,2020-01-21,2.8524599075317383,3.4528400897979736,1.0745600461959839,3.798640012741089,1.3188999891281128,0.8833100199699402,1.5511900186538696,1.9802299737930298,0.9478300213813782,2.3628900051116943,1.011579990386963
20200122,2020-01-22,2.8059298992156982,3.3625500202178955,1.0971299409866333,3.698970079421997,1.3388099670410156,0.9064800143241882,1.5665700435638428,1.9820200204849243,0.9709399938583374,2.3467800617218018,1.0344799757003784
20200130,2020-01-30,2.874619960784912,3.3096299171447754,1.1800099611282349,3.5845398902893066,1.4535000324249268,0.9569299817085266,1.7014800310134888,2.1285300254821777,1.0330699682235718,2.4755799770355225,1.107409954071045
20200131,2020-01-31,3.0550498962402344,3.444550037384033,1.2514400482177734,3.641890048980713,1.2776700258255005,1.114400029182434,1.5051100254058838,2.108920097351074,1.1842600107192993,2.5945000648498535,1.2493200302124023
